client_id,video_name,segment_id,request_time_sec,received_time_sec,deadline_time_sec,deadline_missed,selected_quality_kbps,file_size_kbits,download_time_sec,measured_bandwidth_kbps,average_previous_bandwidth_kbps,estimated_throughput_kbps,buffer_state,buffer_level_after_segment_sec,playback_started
client_1,video_1,1,0.2,0.33333333333333337,0.2,True,800,400.0,0.13333333333333336,2999.9999999999995,,,,4,True
client_1,video_1,2,0.33333333333333337,0.5833333333333334,4.333333333333333,False,1400,750.0,0.25,3000.0,2999.9999999999995,2399.9999999999995,MEDIUM,7.75,True
client_1,video_1,3,0.5833333333333334,0.8233333333333334,8.333333333333334,False,1400,720.0,0.24,3000.0,3000.0,2400.0,MEDIUM,11.51,True
client_1,video_1,4,0.8233333333333334,1.108,12.333333333333334,False,1400,800.0,0.28466666666666673,2810.3044496487114,3000.0,2400.0,MEDIUM,15.225333333333333,True
client_1,video_1,5,1.108,1.4000000000000001,16.333333333333332,False,1400,730.0,0.29200000000000004,2499.9999999999995,2936.768149882904,2584.355971896956,HIGH,18.933333333333334,True
client_2,video_2,1,0.2,0.45,0.2,True,800,300.0,0.25,1200.0,,,,4,True
client_2,video_2,2,0.45,0.7416666666666667,4.45,False,800,350.0,0.2916666666666667,1200.0,1200.0,960.0,MEDIUM,7.708333333333334,True
client_2,video_2,3,0.7416666666666667,1.02,8.450000000000001,False,800,330.0,0.2783333333333333,1185.62874251497,1200.0,960.0,MEDIUM,11.43,True
client_2,video_2,4,1.02,1.3900000000000001,12.45,False,800,370.0,0.3700000000000001,999.9999999999997,1195.2095808383235,956.1676646706588,MEDIUM,15.059999999999999,True
client_2,video_2,5,1.3900000000000001,1.7300000000000002,16.45,False,800,340.0,0.3400000000000001,999.9999999999998,1128.5429141716565,993.1177644710579,HIGH,18.72,True
