client_id,video_name,total_segments,total_video_duration_sec,average_selected_quality_kbps,minimum_selected_quality_kbps,maximum_selected_quality_kbps,quality_switch_count,average_measured_bandwidth_kbps,average_estimated_throughput_kbps,total_download_time_sec,average_download_time_sec,startup_delay_sec,deadline_miss_count,average_buffer_after_segment_sec,final_buffer_level_sec,playback_position_sec,total_rebuffer_time_sec,simulation_completion_time_sec
client_1,video_1,5,20,1280,800,1400,1,2862.060889929742,2446.088992974239,1.2000000000000002,0.24000000000000002,0.13333333333333336,1,11.483733333333333,18.933333333333334,1.0666666666666669,0,1.4000000000000001
client_2,video_2,5,20,800,800,800,0,1117.125748502994,967.3213572854291,1.5300000000000002,0.30600000000000005,0.25,1,11.383666666666667,18.72,1.2800000000000002,0,1.7300000000000002
