action,available_qualities,average_estimated_throughput_kbps,average_measured_bandwidth_kbps,average_previous_bandwidth,average_stall_duration_sec,average_switch_magnitude_kbps,bandwidth_history,bitrate_kbps,buffer_level,buffer_level_sec,buffer_state,buffered_segments,client_id,connection_id,current_simulation_time,current_time,deadline_time,direction,download_time_sec,downward_switch_count,elapsed_time,estimated_throughput,event_counter,event_time,event_type,file_received_time,file_size_kbits,final_buffer_level_sec,final_simulation_time_sec,is_stalling,max_buffer_sec,maximum_stall_duration_sec,maximum_switch_magnitude_kbps,measured_bandwidth_kbps,message,playback_position_sec,playback_started,previous_quality_kbps,previous_simulation_time,quality_change_kbps,quality_switch_count,quality_switch_magnitudes,quality_switched,queue_size_after,queue_size_before,reason,request_time,run_id,safety_factor,segment_duration,segment_duration_sec,segment_id,segment_quality,segment_size,selected_quality,server_id,source,stall_count,stall_durations_sec,switch_direction,throughput_history,total_rebuffer_time_sec,total_segments,upward_switch_count,video_name
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,18.93333333333333,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}, {""segment_id"": 5, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,5,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,1400,18.93333333333333,,,,client_1,,,,,,0.29200000000000004,,,,,,,,730.0,,,False,,,,2499.9999999999995,,,True,,,,,,,,,,,run_20260712_093444,,,,5,,,,,client,0,,,,0,,,
CONNECTION_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,client,,,,,,,,
CONNECTION_ESTABLISHED,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,client,,,,,,,,
THROUGHPUT_ESTIMATION,,,,,,,,,0,,,,client_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_PREVIOUS_BANDWIDTH,,run_20260712_093444,,,,,,,,,client,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,0,,,,client_2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,False,,,NO_BANDWIDTH_HISTORY_START_LOW,,run_20260712_093444,,,,,,,800,,client,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,4,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}]",client_2,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,1,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,800,4,,,,client_2,,,,,,0.25,,,,,,,,300.0,,,False,,,,1200.0,,,True,,,,,,,,,,,run_20260712_093444,,,,1,,,,,client,0,,,,0,,,
THROUGHPUT_ESTIMATION,,,,1200.0,,,,,4,,MEDIUM,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,0.8,,,,,,,,client,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,4,,,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,run_20260712_093444,,,,,,,800,,client,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,7.708333333333334,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,2,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,800,7.708333333333334,,,,client_2,,,,,,0.2916666666666667,,,,,,,,350.0,,,False,,,,1200.0,,,True,,,,,,,,,,,run_20260712_093444,,,,2,,,,,client,0,,,,0,,,
THROUGHPUT_ESTIMATION,,,,1200.0,,,,,7.708333333333334,,MEDIUM,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,0.8,,,,,,,,client,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,7.708333333333334,,,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,run_20260712_093444,,,,,,,800,,client,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,11.43,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,3,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,800,11.43,,,,client_2,,,,,,0.2783333333333333,,,,,,,,330.0,,,False,,,,1185.62874251497,,,True,,,,,,,,,,,run_20260712_093444,,,,3,,,,,client,0,,,,0,,,
THROUGHPUT_ESTIMATION,,,,1195.2095808383235,,,,,11.43,,MEDIUM,,client_2,,,,,,,,,956.1676646706588,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,0.8,,,,,,,,client,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,11.43,,,,client_2,,,,,,,,,956.1676646706588,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,run_20260712_093444,,,,,,,800,,client,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,15.059999999999999,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,4,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,800,15.059999999999999,,,,client_2,,,,,,0.3700000000000001,,,,,,,,370.0,,,False,,,,999.9999999999997,,,True,,,,,,,,,,,run_20260712_093444,,,,4,,,,,client,0,,,,0,,,
THROUGHPUT_ESTIMATION,,,,1128.5429141716565,,,,,15.059999999999999,,HIGH,,client_2,,,,,,,,,993.1177644710579,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,0.8,,,,,,,,client,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,15.059999999999999,,,,client_2,,,,,,,,,993.1177644710579,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,run_20260712_093444,,,,,,,800,,client,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,18.72,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}, {""segment_id"": 5, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,run_20260712_093444,,,4,5,,,,,client,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,800,18.72,,,,client_2,,,,,,0.3400000000000001,,,,,,,,340.0,,,False,,,,999.9999999999998,,,True,,,,,,,,,,,run_20260712_093444,,,,5,,,,,client,0,,,,0,,,
CONNECTION_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,server,,,,,,,,
CONNECTION_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0,,,,,,,,0,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,,,1,0,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0,,,,,,,,1,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0,,,,,,0,,0,0,CONNECTION_REQUEST,,,,,,,,,,,,,,0,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0,,,,,,,,2,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0,,,,,,0,,1,0,CONNECTION_REQUEST,,,,,,,,,,,,,,0,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0,,,,,,,,3,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0,,,,,,0,,2,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,0,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0,,,,,,0,,3,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,0,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0,CONNECTION_REQUEST,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1""}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0,CONNECTION_ESTABLISHED,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_ESTABLISHED"", ""client_id"": ""client_1"", ""server_id"": ""server_1""}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0,CONNECTION_REQUEST,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1""}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,0,CONNECTION_ESTABLISHED,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_ESTABLISHED"", ""client_id"": ""client_2"", ""server_id"": ""server_1""}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
