action,available_qualities,average_estimated_throughput_kbps,average_measured_bandwidth_kbps,average_previous_bandwidth,average_stall_duration_sec,average_switch_magnitude_kbps,bandwidth_history,bitrate_kbps,buffer_level,buffer_level_sec,buffer_state,buffered_segments,client_id,connection_id,current_simulation_time,current_time,deadline_time,direction,download_time_sec,downward_switch_count,elapsed_time,estimated_throughput,event_counter,event_time,event_type,file_received_time,file_size_kbits,final_buffer_level_sec,final_simulation_time_sec,is_stalling,max_buffer_sec,maximum_stall_duration_sec,maximum_switch_magnitude_kbps,measured_bandwidth_kbps,message,playback_position_sec,playback_started,previous_quality_kbps,previous_simulation_time,quality_change_kbps,quality_switch_count,quality_switch_magnitudes,quality_switched,queue_size_after,queue_size_before,reason,request_time,run_id,safety_factor,segment_duration,segment_duration_sec,segment_id,segment_quality,segment_size,selected_quality,server_id,source,stall_count,stall_durations_sec,switch_direction,throughput_history,total_rebuffer_time_sec,total_segments,upward_switch_count,video_name
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,0.13333333333333336,,,,,,,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,0.2,run_20260712_093444,,,,1,800,400.0,,,server,,,,,,,,
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,0.25,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,0.2,run_20260712_093444,,,,1,800,300.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.1,,,,,,,,8,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.1,,,,,,,,9,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.2,,,,,,0.1,,8,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,0.1,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0.2,,,,,,0.0,,9,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,0.2,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.2,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.2, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 1, ""segment_quality"": 800, ""deadline_time"": 0.2}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0.2,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.2, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 1, ""segment_quality"": 800, ""deadline_time"": 0.2}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
PLAYBACK_STARTED,,,,,,,,,4,,,,client_1,,,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,,client,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_1,,,,4.333333333333333,,,,,,,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,2,1400,,,server_1,client,,,,,,,,video_1
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,0.25,,,,,,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,0.33333333333333337,run_20260712_093444,,,,2,1400,750.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.2,,,,,,,,10,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,0.13333333333333336,,10,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.2,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,,,12,0.33333333333333337,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,0.0,,12,0.33333333333333337,SEGMENT_REQUEST,,,,,,,,,,,,,,0.33333333333333337,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 0.33333333333333337, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 1, ""segment_quality"": 800, ""segment_size"": 400.0, ""segment_duration"": 4, ""download_time"": 0.13333333333333336, ""request_time"": 0.2, ""deadline_time"": 0.2}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.33333333333333337,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.33333333333333337, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 2, ""segment_quality"": 1400, ""deadline_time"": 4.333333333333333}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
PLAYBACK_STARTED,,,,,,,,,4,,,,client_2,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,,client,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,4.45,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,2,800,,,server_1,client,,,,,,,,video_2
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,0.2916666666666667,,,,,,,0.7416666666666667,,,,,,,,,,,,,,,,,,,,,0.45,run_20260712_093444,,,,2,800,350.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.2,,,,,,,,11,0.45,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0.45,,,,,,0.11666666666666664,,11,0.45,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.33333333333333337,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.45,,,,,,,,14,0.45,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0.45,,,,,,0.0,,14,0.45,SEGMENT_REQUEST,,,,,,,,,,,,,,0.45,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,0.45,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 0.45, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 1, ""segment_quality"": 800, ""segment_size"": 300.0, ""segment_duration"": 4, ""download_time"": 0.25, ""request_time"": 0.2, ""deadline_time"": 0.2}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0.45,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.45, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 2, ""segment_quality"": 800, ""deadline_time"": 4.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_1,,,,8.333333333333334,,,,,,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,3,1400,,,server_1,client,,,,,,,,video_1
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,0.24,,,,,,,0.8233333333333334,,,,,,,,,,,,,,,,,,,,,0.5833333333333334,run_20260712_093444,,,,3,1400,720.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,,,13,0.5833333333333334,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.5833333333333334,,,,,,0.13333333333333336,,13,0.5833333333333334,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.45,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.5833333333333334,,,,,,,,16,0.5833333333333334,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.5833333333333334,,,,,,0.0,,16,0.5833333333333334,SEGMENT_REQUEST,,,,,,,,,,,,,,0.5833333333333334,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0.5833333333333334,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 0.5833333333333334, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 2, ""segment_quality"": 1400, ""segment_size"": 750.0, ""segment_duration"": 4, ""download_time"": 0.25, ""request_time"": 0.33333333333333337, ""deadline_time"": 4.333333333333333}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.5833333333333334,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.5833333333333334, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 3, ""segment_quality"": 1400, ""deadline_time"": 8.333333333333334}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,8.450000000000001,,,,,,,0.7416666666666667,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,3,800,,,server_1,client,,,,,,,,video_2
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,0.2783333333333333,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,0.7416666666666667,run_20260712_093444,,,,3,800,330.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.45,,,,,,,,15,0.7416666666666667,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0.7416666666666667,,,,,,0.15833333333333333,,15,0.7416666666666667,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.5833333333333334,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.7416666666666667,,,,,,,,18,0.7416666666666667,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,0.7416666666666667,,,,,,0.0,,18,0.7416666666666667,SEGMENT_REQUEST,,,,,,,,,,,,,,0.7416666666666667,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,0.7416666666666667,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 0.7416666666666667, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 2, ""segment_quality"": 800, ""segment_size"": 350.0, ""segment_duration"": 4, ""download_time"": 0.2916666666666667, ""request_time"": 0.45, ""deadline_time"": 4.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0.7416666666666667,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.7416666666666667, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 3, ""segment_quality"": 800, ""deadline_time"": 8.450000000000001}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_1,,,,12.333333333333334,,,,,,,0.8233333333333334,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,4,1400,,,server_1,client,,,,,,,,video_1
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,0.28466666666666673,,,,,,,1.108,,,,,,,,,,,,,,,,,,,,,0.8233333333333334,run_20260712_093444,,,,4,1400,800.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.5833333333333334,,,,,,,,17,0.8233333333333334,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.8233333333333334,,,,,,0.08166666666666667,,17,0.8233333333333334,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.7416666666666667,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.8233333333333334,,,,,,,,20,0.8233333333333334,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.8233333333333334,,,,,,0.0,,20,0.8233333333333334,SEGMENT_REQUEST,,,,,,,,,,,,,,0.8233333333333334,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0.8233333333333334,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 0.8233333333333334, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 3, ""segment_quality"": 1400, ""segment_size"": 720.0, ""segment_duration"": 4, ""download_time"": 0.24, ""request_time"": 0.5833333333333334, ""deadline_time"": 8.333333333333334}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.8233333333333334,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 0.8233333333333334, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 4, ""segment_quality"": 1400, ""deadline_time"": 12.333333333333334}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,12.45,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,4,800,,,server_1,client,,,,,,,,video_2
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,0.3700000000000001,,,,,,,1.3900000000000001,,,,,,,,,,,,,,,,,,,,,1.02,run_20260712_093444,,,,4,800,370.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0.7416666666666667,,,,,,,,19,1.02,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,1.02,,,,,,0.19666666666666666,,19,1.02,SEGMENT_RECEIVED,,,,,,,,,,,,,,0.8233333333333334,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,1.02,,,,,,,,22,1.02,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,1.02,,,,,,0.0,,22,1.02,SEGMENT_REQUEST,,,,,,,,,,,,,,1.02,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,1.02,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 1.02, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 3, ""segment_quality"": 800, ""segment_size"": 330.0, ""segment_duration"": 4, ""download_time"": 0.2783333333333333, ""request_time"": 0.7416666666666667, ""deadline_time"": 8.450000000000001}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,1.02,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 1.02, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 4, ""segment_quality"": 800, ""deadline_time"": 12.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_1,,,,16.333333333333332,,,,,,,1.108,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,5,1400,,,server_1,client,,,,,,,,video_1
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_1,,,,,,0.29200000000000004,,,,,,,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,1.108,run_20260712_093444,,,,5,1400,730.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.8233333333333334,,,,,,,,21,1.108,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,1.108,,,,,,0.08800000000000008,,21,1.108,SEGMENT_RECEIVED,,,,,,,,,,,,,,1.02,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,1.108,,,,,,,,24,1.108,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,1.108,,,,,,0.0,,24,1.108,SEGMENT_REQUEST,,,,,,,,,,,,,,1.108,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,1.108,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 1.108, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 4, ""segment_quality"": 1400, ""segment_size"": 800.0, ""segment_duration"": 4, ""download_time"": 0.28466666666666673, ""request_time"": 0.8233333333333334, ""deadline_time"": 12.333333333333334}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,1.108,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 1.108, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 5, ""segment_quality"": 1400, ""deadline_time"": 16.333333333333332}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,16.45,,,,,,,1.3900000000000001,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,5,800,,,server_1,client,,,,,,,,video_2
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,client_2,,,,,,0.3400000000000001,,,,,,,1.7300000000000002,,,,,,,,,,,,,,,,,,,,,1.3900000000000001,run_20260712_093444,,,,5,800,340.0,,,server,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,1.02,,,,,,,,23,1.3900000000000001,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,1.3900000000000001,,,,,,0.28200000000000003,,23,1.3900000000000001,SEGMENT_RECEIVED,,,,,,,,,,,,,,1.108,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,1.3900000000000001,,,,,,,,26,1.3900000000000001,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,1.3900000000000001,,,,,,0.0,,26,1.3900000000000001,SEGMENT_REQUEST,,,,,,,,,,,,,,1.3900000000000001,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,1.3900000000000001,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 1.3900000000000001, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 4, ""segment_quality"": 800, ""segment_size"": 370.0, ""segment_duration"": 4, ""download_time"": 0.3700000000000001, ""request_time"": 1.02, ""deadline_time"": 12.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,1.3900000000000001,SEGMENT_REQUEST,,,,,,,,,,"{""event_time"": 1.3900000000000001, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 5, ""segment_quality"": 800, ""deadline_time"": 16.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,1.108,,,,,,,,25,1.4000000000000001,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,1.4000000000000001,,,,,,0.010000000000000009,,25,1.4000000000000001,SEGMENT_RECEIVED,,,,,,,,,,,,,,1.3900000000000001,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,1.4000000000000001,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 1.4000000000000001, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 5, ""segment_quality"": 1400, ""segment_size"": 730.0, ""segment_duration"": 4, ""download_time"": 0.29200000000000004, ""request_time"": 1.108, ""deadline_time"": 16.333333333333332}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
CLIENT_SIMULATION_COMPLETED,,2446.088992974239,2862.060889929742,,0,600.0,"[2999.9999999999995, 3000.0, 3000.0, 2810.3044496487114, 2499.9999999999995]",,,,,,client_1,,,,,,,0,,,,,,,,18.60333333333333,1.4000000000000001,,,0,600,,,1.3966666666666667,True,,,,1,[600],,,,,,run_20260712_093444,,,,,,,,,simulation,0,[],,"[2399.9999999999995, 2400.0, 2400.0, 2584.355971896956]",0,,1,video_1
EVENT_ADDED,,,,,,,,,,,,,client_2,,1.3900000000000001,,,,,,,,27,1.7300000000000002,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_2,,1.7300000000000002,,,,,,0.33000000000000007,,27,1.7300000000000002,SEGMENT_RECEIVED,,,,,,,,,,,,,,1.4000000000000001,,,,,0,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,1.7300000000000002,SEGMENT_RECEIVED,,,,,,,,,,"{""event_time"": 1.7300000000000002, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 5, ""segment_quality"": 800, ""segment_size"": 340.0, ""segment_duration"": 4, ""download_time"": 0.3400000000000001, ""request_time"": 1.3900000000000001, ""deadline_time"": 16.45}",,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,connection,,,,,,,,
CLIENT_SIMULATION_COMPLETED,,967.3213572854291,1117.125748502994,,0,0,"[1200.0, 1200.0, 1185.62874251497, 999.9999999999997, 999.9999999999998]",,,,,,client_2,,,,,,,0,,,,,,,,18.72,1.7300000000000002,,,0,0,,,1.2800000000000002,True,,,,0,[],,,,,,run_20260712_093444,,,,,,,,,simulation,0,[],,"[960.0, 960.0, 956.1676646706588, 993.1177644710579]",0,,0,video_2
